,volume_BTC,open_BTC,low_BTC,high_BTC,close_BTC,volume_ETH,open_ETH,low_ETH,high_ETH,close_ETH
2023-01-24,11681.38309,23061.5,22337,23109,22719.5,187183.5944,1636.45,1520,1638.3,1553.8
2023-01-25,19587.30984,22719,22350,23883.5,22978,198400.032,1553.8,1518.9,1642,1604.4
2023-01-26,14976.81996,22978,22554,23251.5,23089,158718.971,1604.4,1553.55,1620.95,1586
2023-01-27,14205.01978,23089,22852,23564,23012.5,107236.9907,1586,1560.6,1623.25,1592.75
2023-01-28,4695.884378,23012.5,22888.5,23510.5,23214,75906.11422,1592.75,1556.1,1620.15,1592.6
2023-01-29,11167.57259,23214,23166.5,24001,23656,122075.3917,1592.6,1590.05,1660,1627.4
2023-01-30,13338.37802,23656,22456,23682.5,22971,164897.1736,1627.4,1534.2,1631.15,1580.9
2023-01-31,8654.883505,22973.5,22812,23333,23083,75870.83592,1580.9,1564.05,1605.5,1575.35
2023-02-01,20643.62919,23083,22750.5,24288.5,23801.5,205354.3127,1575.3,1555,1696.5,1664.8
2023-02-02,15354.28805,23801.5,23375,24174,23449.5,171186.1779,1664.8,1628.25,1720.9,1638.6
2023-02-03,12883.46927,23449.5,23212.5,23723.5,23338,123042.4036,1638.65,1626.3,1676.55,1659.35
2023-02-04,4216.321287,23338,23230,23594,23387.5,57938.83354,1659.4,1652.65,1695.95,1668.95
2023-02-05,8392.038158,23387.5,22635.5,23434.5,22885,102609.9745,1668.9,1610,1674.5,1635.4
2023-02-06,7173.53769,22886,22641,23171.5,22915,89203.98255,1635.45,1606,1659.65,1632.4
2023-02-07,10530.51648,22915,22776,23450,23235.5,164233.4431,1632.45,1625.15,1699.45,1678.25
2023-02-08,10238.53192,23235.5,22356.5,23240,22678,119282.1785,1678.25,1610.05,1682.9,1629.65
2023-02-09,16891.44564,22678,21632,22841,21912,195177.5988,1629.6,1524.5,1649.95,1551.15
2023-02-10,9782.731208,21912.5,21459,21926.5,21698.5,130158.0156,1551.15,1490.9,1554.85,1520.15
2023-02-11,3063.36077,21698.5,21624,21898.5,21801,33727.16969,1520.15,1505.15,1543.2,1530.7
2023-02-12,7491.659907,21801,21631.5,22084.5,21883,60541.12343,1530.65,1492.75,1548.3,1523.25
2023-02-13,10527.28639,21883,21371,21887,21775,161808.8517,1523.25,1462.65,1523.25,1506.6
